Code;Nom Cheirobom;Marque d'inspiration;Genre;Catégorie
E001 / C001;Murky Night;Yves Saint Laurent (YSL);Femme;Élixir
E002 / C002;Her Night;Yves Saint Laurent (YSL);Femme;Élixir
E003 / C003;Douce Culpabilité;Gucci;Femme;Élixir
E004 / C004;Aura Précieuse;Chanel;Femme;Élixir
E005 / C005;Heaven Dream;Thierry Mugler;Femme;Élixir
E006 / C006;Écho Romain;Laura Biagiotti;Femme;Élixir
E007 / C007;Spell Obsession;Dior;Femme;Élixir
E008 / C008;Grace Ode;Dior;Femme;Élixir
E009 / C009;Vœu Sincère;Dolce & Gabbana (D&G);Femme;Élixir
E010 / C010;Azur Léger;Dolce & Gabbana (D&G);Femme;Élixir
E011 / C011;Pétale Suspendu;Kenzo;Femme;Élixir
E012 / C012;Chic Silhouette;Chanel;Femme;Élixir
E013 / C013;Invine;Prada;Femme;Élixir
E014 / C014;Purple Mystery;Thierry Mugler;Femme;Élixir
E015;Pink Treat;Kayali Fragrances;Femme;Élixir
E016 / C015;Passion Flame;Armani;Femme;Élixir
E017 / C016;Gold Starshine;Paco Rabanne;Femme;Élixir
E018 / C017;Trait Distinctif;Chloé;Femme;Élixir
E019 / C018;Gentle Bliss;Lancôme;Femme;Élixir
E020;Regal Heritage;Creed;Femme;Élixir
E021 / C019;Flamme Discrète;Narciso Rodriguez;Femme;Élixir
E022 / C020;Don Total;Narciso Rodriguez;Femme;Élixir
E023 / C021;Bare Moss;Narciso Rodriguez;Femme;Élixir
E024 / C022;Rose Épurée;Narciso Rodriguez;Femme;Élixir
E025 / C023;Noir Élégant;Narciso Rodriguez;Femme;Élixir
E026 / C024;Échappée Libre;Burberry;Femme;Élixir
E027 / C025;Her Freedom;Yves Saint Laurent (YSL);Femme;Élixir
E028 / C026;Unspoken Desire;Givenchy;Femme;Élixir
E029 / C027;Mon Écosse;Burberry;Femme;Élixir
E030 / C028;Souveraine Dorée;Dolce & Gabbana (D&G);Femme;Élixir
E031 / C029;Coup de Chance;Chanel;Femme;Élixir
E032 / C030;Éclat Saphir;Bulgari;Femme;Élixir
E033 / C031;Lady Poise;Chloé;Femme;Élixir
E034 / C032;Terre Joyeuse;Armani;Femme;Élixir
E035 / C033;Élixir Aromatique;Clinique;Femme;Élixir
E036 / C034;Cristal Obscur;Versace;Femme;Élixir
E037 / C035;Passion Ailée;Versace;Femme;Élixir
E038 / C036;Cherry Bold;Carolina Herrera;Femme;Élixir
E039 / C037;Lust Rebel for Her;Jean Paul Gaultier (JPG);Femme;Élixir
E040 / C038;Airy Bloom;Gucci;Femme;Élixir
E041 / C039;Vertige Sucré;Dior;Femme;Élixir
E042 / C040;Douceur Chérie;Dior;Femme;Élixir
E043;Ensorcellement Nocturne;Nasomatto;Femme;Élixir
E044 / C041;Ivory Charm;Byredo;Femme;Élixir
E045 / C042;Simplement Être;Calvin Klein;Femme;Élixir
E046 / C043;Silhouette Noire;Guerlain;Femme;Élixir
E047 / C044;Écrin Précieux;Lancôme;Femme;Élixir
E048 / C045;Conte Interdit;Lolita Lempicka;Femme;Élixir
E049 / C046;Rose Écarlate;Guerlain;Femme;Élixir
E050 / C047;Bois Rouge Ardent;Dsquared2;Femme;Élixir
E051 / C048;Vive Insouciance;Juicy Culture;Femme;Élixir
E052 / C049;Bouquet Affirmé;Armani;Femme;Élixir
E053 / C050;Flamme Assumée;Dolce & Gabbana (D&G);Femme;Élixir
E054 / C051;Bright Journey;Armani;Femme;Élixir
E055 / C052;Elva;Giardini di Toscana;Femme;Élixir
