Nom Cheirobom;Parfum copié;Marque;Contenances disponibles
Murky Night;Black Opium;Yves Saint Laurent (YSL);35 mL / 100 mL
Her Night;Opium;Yves Saint Laurent (YSL);35 mL / 100 mL
Douce Culpabilité;Guilty;Gucci;35 mL / 100 mL
Aura Précieuse;N°5;Chanel;35 mL / 100 mL
Heaven Dream;Angel;Thierry Mugler;35 mL / 100 mL
Écho Romain;Roma;Laura Biagiotti;35 mL / 100 mL
Spell Obsession;Hypnotic Poison;Dior;35 mL / 100 mL
Grace Ode;J'adore;Dior;35 mL / 100 mL
Vœu Sincère;Devotion;Dolce & Gabbana (D&G);35 mL / 100 mL
Azur Léger;Light Blue;Dolce & Gabbana (D&G);35 mL / 100 mL
Pétale Suspendu;Flower;Kenzo;35 mL / 100 mL
Chic Silhouette;Coco Mademoiselle;Chanel;35 mL / 100 mL
Invine;Paradoxe;Prada;35 mL / 100 mL
Purple Mystery;Alien;Thierry Mugler;35 mL / 100 mL
Pink Treat;Yum Boujee Marshmallow;Kayali Fragrances;35 mL
Passion Flame;Power Of You;Armani;35 mL / 100 mL
Gold Starshine;Lady Million;Paco Rabanne;35 mL / 100 mL
Trait Distinctif;Signature;Chloé;35 mL / 100 mL
Gentle Bliss;La Vie Est Belle;Lancôme;35 mL / 100 mL
Regal Heritage;Aventus for Her;Creed;35 mL
Flamme Discrète;Rouge;Narciso Rodriguez;35 mL / 100 mL
Don Total;All Of Me;Narciso Rodriguez;35 mL / 100 mL
Bare Moss;Pure Musc;Narciso Rodriguez;35 mL / 100 mL
Rose Épurée;Pink Bottle;Narciso Rodriguez;35 mL / 100 mL
Noir Élégant;Black Bottle;Narciso Rodriguez;35 mL / 100 mL
Échappée Libre;Weekend;Burberry;35 mL / 100 mL
Her Freedom;Libre;Yves Saint Laurent (YSL);35 mL / 100 mL
Unspoken Desire;L'Interdit;Givenchy;35 mL / 100 mL
Mon Écosse;My Burberry;Burberry;35 mL / 100 mL
Souveraine Dorée;Imperatrice;Dolce & Gabbana (D&G);35 mL / 100 mL
Coup de Chance;Chance;Chanel;35 mL / 100 mL
Éclat Saphir;Blu;Bulgari;35 mL / 100 mL
Lady Poise;Chloé (éponyme);Chloé;35 mL / 100 mL
Terre Joyeuse;Terre di Gioia;Armani;35 mL / 100 mL
Élixir Aromatique;Aromatics Elixir;Clinique;35 mL / 100 mL
Cristal Obscur;Crystal Noir;Versace;35 mL / 100 mL
Passion Ailée;Eros (pour femme);Versace;35 mL / 100 mL
Cherry Bold;Very Good Girl;Carolina Herrera;35 mL / 100 mL
Lust Rebel for Her;Scandal;Jean Paul Gaultier (JPG);35 mL / 100 mL
